C,SETP.WORLD,DVD_GENUNITS,AEMO,PUBLIC,2024/02/07,00:25:16,0000000410396561,,0000000410396500
I,PARTICIPANT_REGISTRATION,GENUNITS,2,GENSETID,STATIONID,SETLOSSFACTOR,CDINDICATOR,AGCFLAG,SPINNINGFLAG,VOLTLEVEL,REGISTEREDCAPACITY,DISPATCHTYPE,STARTTYPE,MKTGENERATORIND,NORMALSTATUS,MAXCAPACITY,GENSETTYPE,GENSETNAME,LASTCHANGED,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GORDON1,,,N,Y,Y,220,144,NET/NET,SLOW,N,N,150,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GORDON2,,,N,Y,Y,220,144,NET/NET,SLOW,N,N,150,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,GORDON3,,,N,Y,Y,220,144,NET/NET,SLOW,N,N,150,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LEMONTME,,,N,Y,Y,220,51,NET/NET,SLOW,N,N,54,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CATA_1,,,N,Y,Y,220,24,NET/NET,SLOW,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CATA_2,,,N,Y,Y,220,24,NET/NET,SLOW,N,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,POATINA1,,,N,Y,Y,110,50,NET/NET,SLOW,N,N,62,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,POATINA2,,,N,Y,Y,110,50,NET/NET,SLOW,N,N,62,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TREV_1,,,N,Y,Y,110,20,NET/NET,SLOW,N,N,21,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TREV_2,,,N,Y,Y,110,20,NET/NET,SLOW,N,N,21,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TREV_3,,,N,Y,Y,110,27,NET/NET,SLOW,N,N,31,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TREV_4,,,N,Y,Y,110,27,NET/NET,SLOW,N,N,31,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUNGA_3,,,N,Y,Y,110,25,NET/NET,SLOW,N,N,26,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUNGA_4,,,N,Y,Y,110,25,NET/NET,SLOW,N,N,26,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DG_TAS1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RT_TAS1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BLNKTAS,,,N,N,N,220,480,NET/NET,,Y,N,480,GENERATOR,,"2008/12/04 11:22:50",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BLNKVIC,,,N,N,N,500,600,NET/NET,,Y,N,600,GENERATOR,,"2008/12/04 11:22:50",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWANNL2,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2012/06/08 12:36:08",1.0910,"Black coal","NTNDP 2011"
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TYPHOONW,,,N,N,N,22,5,NET/NET,,N,N,5,GENERATOR,,"2009/05/25 16:33:26",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT3-1,,,N,N,N,330,250,GROSS/NET,,N,N,300,GENERATOR,,"2011/06/28 15:55:22",,,
