region,fueltech,interval,power,emissions
NSW1,gas,2026-08-10 17:30:00+10:00,46.50666666666667,14.0026
NSW1,gas,2026-08-10 18:00:00+10:00,46.471666666666664,14.0015
NSW1,gas,2026-08-10 18:30:00+10:00,45.99333333333333,13.8451
NSW1,gas,2026-08-10 19:00:00+10:00,45.95666666666667,13.8375
NSW1,gas,2026-08-10 19:30:00+10:00,45.708333333333336,13.762799999999999
NSW1,gas,2026-08-10 20:00:00+10:00,45.535,13.7107
NSW1,gas,2026-08-10 20:30:00+10:00,46.425000000000004,13.9785
NSW1,gas,2026-08-10 21:00:00+10:00,46.36833333333333,13.9616
NSW1,gas,2026-08-10 21:30:00+10:00,46.44,13.9831
NSW1,gas,2026-08-10 22:00:00+10:00,45.971666666666664,13.841999999999999
NSW1,gas,2026-08-10 22:30:00+10:00,45.91,13.8234
NSW1,gas,2026-08-10 23:00:00+10:00,46.586666666666666,14.0273
NSW1,gas,2026-08-10 23:30:00+10:00,46.086666666666666,13.8767
NSW1,hydro,2026-08-10 00:00:00+10:00,367.9643833333334,0.0
NSW1,hydro,2026-08-10 00:30:00+10:00,313.29738333333336,0.0
NSW1,hydro,2026-08-10 01:00:00+10:00,168.50618333333333,0.0
NSW1,hydro,2026-08-10 01:30:00+10:00,319.55718333333334,0.0
NSW1,hydro,2026-08-10 02:00:00+10:00,449.6010833333333,0.0
NSW1,hydro,2026-08-10 02:30:00+10:00,390.8159666666667,0.0
NSW1,hydro,2026-08-10 03:00:00+10:00,356.88138333333336,0.0
NSW1,hydro,2026-08-10 03:30:00+10:00,328.88828333333333,0.0
NSW1,hydro,2026-08-10 04:00:00+10:00,265.85251666666665,0.0
NSW1,hydro,2026-08-10 04:30:00+10:00,230.14149999999998,0.0
NSW1,hydro,2026-08-10 05:00:00+10:00,267.68983333333335,0.0
NSW1,hydro,2026-08-10 05:30:00+10:00,291.0014,0.0
NSW1,hydro,2026-08-10 06:00:00+10:00,396.39300000000003,0.0
NSW1,hydro,2026-08-10 06:30:00+10:00,616.3424833333333,0.0
NSW1,hydro,2026-08-10 07:00:00+10:00,765.5279333333333,0.0
NSW1,hydro,2026-08-10 07:30:00+10:00,439.60183333333333,0.0
NSW1,hydro,2026-08-10 08:00:00+10:00,336.55945,0.0
NSW1,hydro,2026-08-10 08:30:00+10:00,289.6616833333333,0.0
NSW1,hydro,2026-08-10 09:00:00+10:00,228.50111666666666,0.0
NSW1,hydro,2026-08-10 09:30:00+10:00,67.89999999999999,0.0
NSW1,hydro,2026-08-10 10:00:00+10:00,67.71666666666667,0.0
NSW1,hydro,2026-08-10 10:30:00+10:00,80.14221666666667,0.0
NSW1,hydro,2026-08-10 11:00:00+10:00,125.14956666666666,0.0
NSW1,hydro,2026-08-10 11:30:00+10:00,82.97328333333333,0.0
NSW1,hydro,2026-08-10 12:00:00+10:00,67.75,0.0
NSW1,hydro,2026-08-10 12:30:00+10:00,67.58333333333333,0.0
NSW1,hydro,2026-08-10 13:00:00+10:00,67.93333333333334,0.0
